concept_key	concept_label	author_date	commit_date	hash	short_hash	subject	repository	file_path	line_number	matched_pattern	matched_text	evidence_class
AUTHORITY	Authority	2025-12-23T05:14:41+02:00	2025-12-23T05:14:41+02:00	b35600bb4cb9808f515423277ff77138a6bf7c5a	b35600b	Freeze CORE: THE BIG G v1.0 — command schema, validation, authority rules	/Users/alaaatia/pms_govern	Rules_roles.yaml	35	authority floor	  # 1) sector baseline (your “joker shifter”: sector decides authority floor)	SOURCE_TEXT
CARSHUNTER	CARSHUNTER	2026-02-21T03:12:35+02:00	2026-02-21T03:12:35+02:00	10df7361c0611af3b9661139cd7351803fad07f7	10df736	CARSHUNTER 1447 stabilization baseline	/Users/alaaatia/Workspace/BPB/CARSHUNTER_1447Logistics26_Rag_29	pms_govern/gcc_engine.py	18	CARSHUNTER	"    # signer_id -> role_name (e.g. ""AA"", ""CARSHUNTER"")"	ARCHITECTURE_OR_CODE
EVIDENCE	Evidence	2026-02-21T03:12:35+02:00	2026-02-21T03:12:35+02:00	10df7361c0611af3b9661139cd7351803fad07f7	10df736	CARSHUNTER 1447 stabilization baseline	/Users/alaaatia/Workspace/BPB/CARSHUNTER_1447Logistics26_Rag_29	pms_govern/execution_evidence.py	3	execution evidence	Execution Evidence — Automatic Audit Record	ARCHITECTURE_OR_CODE
EXECUTION_GOVERNANCE	Execution Governance	2026-02-21T03:12:35+02:00	2026-02-21T03:12:35+02:00	10df7361c0611af3b9661139cd7351803fad07f7	10df736	CARSHUNTER 1447 stabilization baseline	/Users/alaaatia/Workspace/BPB/CARSHUNTER_1447Logistics26_Rag_29	CARSHUNTER/2026:1447/02_REPORTS/Carshunter_Operations_Report_Template_1447.html	855	Execution Governance	"<p class=""p5""><b>2) PMS (Execution Governance System) vs Top 5 frameworks/tools</b></p>"	OPERATIONAL_REPORT
PMS4U	PMS4U	2026-02-21T03:12:35+02:00	2026-02-21T03:12:35+02:00	10df7361c0611af3b9661139cd7351803fad07f7	10df736	CARSHUNTER 1447 stabilization baseline	/Users/alaaatia/Workspace/BPB/CARSHUNTER_1447Logistics26_Rag_29	PMS4U/COMPLETION_SUMMARY.md	2	PMS4U	## PMS4U LIVE OPS Registry	DOCUMENTATION
PMS_GOVERN	PMS_GOVERN	2026-02-21T03:12:35+02:00	2026-02-21T03:12:35+02:00	10df7361c0611af3b9661139cd7351803fad07f7	10df736	CARSHUNTER 1447 stabilization baseline	/Users/alaaatia/Workspace/BPB/CARSHUNTER_1447Logistics26_Rag_29	pms_govern/cli.py	33	PMS_GOVERN	"    parser = argparse.ArgumentParser(""pms_govern"")"	ARCHITECTURE_OR_CODE
QGED	QGED	2026-02-21T03:12:35+02:00	2026-02-21T03:12:35+02:00	10df7361c0611af3b9661139cd7351803fad07f7	10df736	CARSHUNTER 1447 stabilization baseline	/Users/alaaatia/Workspace/BPB/CARSHUNTER_1447Logistics26_Rag_29	pms_govern/execution_evidence.py	44	QGED	    2. QGED made a decision (sealed)	ARCHITECTURE_OR_CODE
RUNTIME_GOVERNANCE	Runtime Governance	2026-02-21T03:12:35+02:00	2026-02-21T03:12:35+02:00	10df7361c0611af3b9661139cd7351803fad07f7	10df736	CARSHUNTER 1447 stabilization baseline	/Users/alaaatia/Workspace/BPB/CARSHUNTER_1447Logistics26_Rag_29	CARSHUNTER/2026:1447/02_REPORTS/Carshunter_Operations_Report_Template_1447.html	867	runtime enforcement	"  <li class=""li3""><b>Strength vs PMBOK/PRINCE2/SAFe:</b> PMS turns governance into <b>runtime enforcement</b> (not just ceremonies). It can <i>block execution</i> without authority/proof (your QGED gate pattern).</li>"	OPERATIONAL_REPORT
THE_BIG_G	THE BIG G	2026-03-08T04:44:49+02:00	2026-03-08T04:44:49+02:00	b2a3ad1f20c2ca319950a535211841f51f6bc1aa	b2a3ad1	chore: initial baseline snapshot	/Users/alaaatia/set-execution-governance	Governance Operating System/docs/pms_overview.md	5	THE BIG G	THE BIG G (Doctrine)	DOCUMENTATION
ADMISSIBILITY	Admissibility	2026-03-21T08:11:01+02:00	2026-03-21T08:11:01+02:00	5fbf2145bc934fa23b7462b3a060cc001e92b370	5fbf214	SET v1.0 — Execution Governance Standard	/Users/alaaatia/set-execution-governance	governance-os/architecture/governed_execution_gateway.py	19	admissibility	def admissibility_layer(ai_decision, action_request):	ARCHITECTURE_OR_CODE
YAI	YAI	2026-03-21T08:11:01+02:00	2026-03-21T08:11:01+02:00	5fbf2145bc934fa23b7462b3a060cc001e92b370	5fbf214	SET v1.0 — Execution Governance Standard	/Users/alaaatia/set-execution-governance	generate_pptx.py	511	YAI governance	"        (""2026-02-18"", ""YAI governance framework locked"",        ""AI safety layer prevents autonomous execution""),"	ARCHITECTURE_OR_CODE
SET	SET	2026-03-21T11:56:55+02:00	2026-03-21T11:56:55+02:00	64a39aa88eb1fea996455bb92d9c995a140a0bad	64a39aa	upgrade authority surface	/Users/alaaatia/pms4u	Downloads/C180/organized/SET-Standard/index.md	1	Execution Governance Standard	# SET - Execution Governance Standard	DOCUMENTATION
EGA	EGA	2026-03-21T12:02:15+02:00	2026-03-21T12:02:15+02:00	483ca201339039c2073f51d464b9f66ef9b5981b	483ca20	establish SET as canonical standard v1.0	/Users/alaaatia/pms4u	Downloads/C180/organized/SET-Standard/spec/SET-v1.0.md	20	EGA	- Execution Authority Layer (EGA): what is permitted to execute.	DOCUMENTATION
GTCS4U	GTCS4U	2026-05-25T06:11:49+03:00	2026-05-25T06:11:49+03:00	2b1c505d8dcba402970c7eb4e953a9e87e687a2b	2b1c505	feat: setup console route with Vercel deploy configuration	/Users/alaaatia/pms4u	pms4u/carshunter_app/app_orchestrator.py	11	GTCS4U	"gov_client = GovernanceRuntimeClient(governance_url=""http://governance.gtcs4u.local"")"	ARCHITECTURE_OR_CODE
CEI	CEI	2026-05-28T16:21:29+03:00	2026-05-28T16:21:29+03:00	07de374f76c2c274045988e7ec51062a7d5da697	07de374	Canonical product identity, doctrine, and demo: Constitutional Execution Infrastructure (CEI)	/Users/alaaatia/pms4u	execution-proof-stack/docs/DOCTRINE.md	1	Constitutional Execution Infrastructure	## Constitutional Execution Infrastructure (CEI)	DOCUMENTATION
REPLAY	Replay	2026-05-28T16:21:29+03:00	2026-05-28T16:21:29+03:00	07de374f76c2c274045988e7ec51062a7d5da697	07de374	Canonical product identity, doctrine, and demo: Constitutional Execution Infrastructure (CEI)	/Users/alaaatia/pms4u	execution-proof-stack/constitutional_gateway.py	80	replayable	            replayable=True,	ARCHITECTURE_OR_CODE
